id,name,type,subCategory,category,location,district,tier,rating,description,image,phone,website,lat,lng,socialFacebook,socialInstagram
hotel-hotels-trincomalee-1,Trincomalee Beach Hotel,hotel,Hotels,Accommodation,"Trincomalee Town, Trincomalee",Trincomalee,,4.3,Comfortable stay in Trincomalee Town with easy access to the beach and local attractions.,https://placehold.co/800x600?text=Trincomalee%20Beach%20Hotel,+94 026 203 5506,https://www.trincomalee-beach-hotel.lk,8.5782,81.2261,https://facebook.com/trincomaleebeachhotel,https://instagram.com/trincomaleebeachhotel
hotel-hotels-trincomalee-2,Nilaveli Inn,hotel,Hotels,Accommodation,"Nilaveli, Trincomalee",Trincomalee,,3.9,Comfortable stay in Nilaveli with easy access to the beach and local attractions.,https://placehold.co/800x600?text=Nilaveli%20Inn,+94 026 294 9935,https://www.nilaveli-inn.lk,8.6917,81.1817,https://facebook.com/nilaveliinn,https://instagram.com/nilaveliinn
hotel-hotels-trincomalee-3,Uppuveli Ocean View Hotel,hotel,Hotels,Accommodation,"Uppuveli, Trincomalee",Trincomalee,,3.8,"Comfortable stay in Uppuveli, with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Uppuveli%20Ocean%20View%20Hotel,+94 026 227 4811,https://www.uppuveli-ocean-view-hotel.lk,8.6034,81.1955,https://facebook.com/uppuvelioceanviewhotel,https://instagram.com/uppuvelioceanviewhotel
hotel-hotels-trincomalee-4,Kuchchaveli Guest House,hotel,Hotels,Accommodation,"Kuchchaveli, Trincomalee",Trincomalee,,4,"Comfortable stay in Kuchchaveli with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Kuchchaveli%20Guest%20House,+94 026 283 9928,https://www.kuchchaveli-guest-house.lk,8.8817,81.1323,https://facebook.com/kuchchaveliguesthouse,https://instagram.com/kuchchaveliguesthouse
hotel-hotels-batticaloa-1,Batticaloa Beach Hotel,hotel,Hotels,Accommodation,"Batticaloa Town, Batticaloa",Batticaloa,,4,"Comfortable stay in Batticaloa Town with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Batticaloa%20Beach%20Hotel,+94 065 200 3615,https://www.batticaloa-beach-hotel.lk,7.7207,81.6968,https://facebook.com/batticaloabeachhotel,https://instagram.com/batticaloabeachhotel
hotel-hotels-batticaloa-2,Kallady Inn,hotel,Hotels,Accommodation,"Kallady, Batticaloa",Batticaloa,,3.9,"Comfortable stay in Kallady with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Kallady%20Inn,+94 065 297 6514,https://www.kallady-inn.lk,7.7087,81.7143,https://facebook.com/kalladyinn,https://instagram.com/kalladyinn
hotel-hotels-batticaloa-3,Pasikudah Ocean View Hotel,hotel,Hotels,Accommodation,"Pasikudah, Batticaloa",Batticaloa,,4.1,"Comfortable stay in Pasikudah with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Pasikudah%20Ocean%20View%20Hotel,+94 065 244 5333,https://www.pasikudah-ocean-view-hotel.lk,7.9394,81.5713,https://facebook.com/pasikudahoceanviewhotel,https://instagram.com/pasikudahoceanviewhotel
hotel-hotels-batticaloa-4,Kalkudah Guest House,hotel,Hotels,Accommodation,"Kalkudah, Batticaloa",Batticaloa,,4.2,"Comfortable stay in Kalkudah with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Kalkudah%20Guest%20House,+94 065 248 2291,https://www.kalkudah-guest-house.lk,7.9177,81.5733,https://facebook.com/kalkudahguesthouse,https://instagram.com/kalkudahguesthouse
hotel-hotels-ampara-1,Arugam Beach Hotel,hotel,Hotels,Accommodation,"Arugam Bay, Ampara",Ampara,,4.3,"Comfortable stay in Arugam Bay with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Arugam%20Beach%20Hotel,+94 063 246 4150,https://www.arugam-beach-hotel.lk,6.8441,81.8276,https://facebook.com/arugambeachhotel,https://instagram.com/arugambeachhotel
hotel-hotels-ampara-2,Pottuvil Inn,hotel,Hotels,Accommodation,"Pottuvil, Ampara",Ampara,,4,"Comfortable stay in Pottuvil with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Pottuvil%20Inn,+94 063 237 2307,https://www.pottuvil-inn.lk,6.8768,81.8356,https://facebook.com/pottuvilinn,https://instagram.com/pottuvilinn
hotel-hotels-ampara-3,Kalmunai Ocean View Hotel,hotel,Hotels,Accommodation,"Kalmunai, Ampara",Ampara,,4.1,"Comfortable stay in Kalmunai with easy access to the beach and local attractions.",https://placehold.co/800x600?text=Kalmunai%20Ocean%20View%20Hotel,+94 063 258 6977,https://www.kalmunai-ocean-view-hotel.lk,7.41,81.8138,https://facebook.com/kalmunaioceanviewhotel,https://instagram.com/kalmunaioceanviewhotel
hotel-resorts-trincomalee-1,Trincomalee Bay Resort,hotel,Resorts,Accommodation,"Trincomalee Town, Trincomalee",Trincomalee,featured,4.6,"Beachfront resort in Trincomalee Town offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Trincomalee%20Bay%20Resort,+94 026 289 2169,https://www.trincomalee-bay-resort.lk,8.5855,81.2267,https://facebook.com/trincomaleebayresort,https://instagram.com/trincomaleebayresort
hotel-resorts-trincomalee-2,Nilaveli Lagoon Resort,hotel,Resorts,Accommodation,"Nilaveli, Trincomalee",Trincomalee,premium,4.7,"Beachfront resort in Nilaveli offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Nilaveli%20Lagoon%20Resort,+94 026 220 8573,https://www.nilaveli-lagoon-resort.lk,8.6976,81.1931,https://facebook.com/nilavelilagoonresort,https://instagram.com/nilavelilagoonresort
hotel-resorts-trincomalee-3,Uppuveli Coconut Grove Resort,hotel,Resorts,Accommodation,"Uppuveli, Trincomalee",Trincomalee,featured,4.6,"Beachfront resort in Uppuveli offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Uppuveli%20Coconut%20Grove%20Resort,+94 026 271 4598,https://www.uppuveli-coconut-grove-resort.lk,8.607,81.2119,https://facebook.com/uppuvelicoconutgroveresort,https://instagram.com/uppuvelicoconutgroveresort
